requested_flow_mL_s,turns,coil_diameter_cm,outer_h_W_m2K,prechill_tube_enabled,avg_outlet_no_rod_C,final_outlet_no_rod_C,ice_remaining_no_rod_g,pressure_ratio_no_rod,tube_length_m_no_rod,avg_outlet_with_rod_C,final_outlet_with_rod_C,ice_remaining_with_rod_g,pressure_ratio_with_rod,tube_length_m_with_rod,rod_delta_avg_C,rod_delta_final_C,rod_extra_ice_remaining_g
10.0,10.0,6.0,1200.0,False,39.26527819839215,39.265278198392224,829.7352951861228,1.0578293438931012,1.887360629792878,36.93357017406401,36.93357017406389,824.9973596857615,1.0578293438931012,1.887360629792878,2.331708024328144,2.3317080243283357,-4.7379355003613455
10.0,8.0,7.5,1200.0,False,39.28428165442133,39.28428165442129,829.8060426992485,1.0574311654676671,1.8864951694590075,36.95275432504962,36.95275432504973,825.0687799038345,1.0574311654676671,1.8864951694590075,2.33152732937171,2.3315273293715606,-4.737262795413926
10.0,16.0,6.0,250.0,False,56.406448267284894,56.40644826728472,893.5497483406598,1.578828114872703,3.019777007668605,54.08174202122488,54.08174202122474,888.8378795935824,1.578828114872703,3.019777007668605,2.3247062460600105,2.324706246059982,-4.711868747077347
8.0,16.0,6.0,250.0,False,56.406448267284894,56.40644826728472,893.5497483406598,1.0671033559010716,3.019777007668605,54.08174202122488,54.08174202122474,888.8378795935824,1.0671033559010716,3.019777007668605,2.3247062460600105,2.324706246059982,-4.711868747077347
10.0,8.0,9.0,1200.0,False,31.78500225562788,31.78500225562781,801.887154317448,1.2307581415305568,2.263229851677625,29.463157180743423,29.463157180743465,797.1859373562958,1.2307581415305568,2.263229851677625,2.3218450748844575,2.3218450748843438,-4.701216961152227
10.0,12.0,6.0,1200.0,False,31.76085468764377,31.760854687643725,801.7972559126165,1.2314956008863016,2.2648327557514536,29.43971440096747,29.43971440096746,797.0986627906661,1.2314956008863016,2.2648327557514536,2.3211402866763002,2.3211402866762647,-4.698593121950353
6.0,14.0,9.0,250.0,False,47.29910095138477,47.29910095138478,859.6442222699998,0.8266462910691847,3.9606522404358433,44.98093973544389,44.98093973544367,854.9567198594261,0.8266462910691847,3.9606522404358433,2.318161215940883,2.3181612159411102,-4.687502410573643
8.0,16.0,11.0,250.0,False,38.16541000035758,38.16541000035742,825.6406221085191,1.8537385980453704,5.531302952543315,35.86546852613735,35.86546852613733,821.0209495397723,1.8537385980453704,5.531302952543315,2.2999414742202333,2.299941474220091,-4.619672568746751
10.0,16.0,11.0,250.0,False,38.16541000035758,38.16541000035742,825.6406221085191,2.734323528156724,5.531302952543315,35.86546852613735,35.86546852613733,821.0209495397723,2.734323528156724,5.531302952543315,2.2999414742202333,2.299941474220091,-4.619672568746751
6.0,16.0,11.0,250.0,False,38.16541000035758,38.16541000035742,825.6406221085191,1.1274108670489404,5.531302952543315,35.86546852613735,35.86546852613733,821.0209495397723,1.1274108670489404,5.531302952543315,2.2999414742202333,2.299941474220091,-4.619672568746751
