JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.82946,13.333,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.64,Z,18.605,19.079,,ASASSN-17PF,VVS,STD,,,,
2458077.83162,13.310,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.64,Z,18.625,19.088,,ASASSN-17PF,VVS,STD,,,,
2458077.83377,13.315,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.65,Z,18.601,19.071,,ASASSN-17PF,VVS,STD,,,,
2458077.83594,13.316,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.65,Z,18.622,19.066,,ASASSN-17PF,VVS,STD,,,,
2458077.83808,13.324,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.66,Z,18.604,19.099,,ASASSN-17PF,VVS,STD,,,,
2458077.84022,13.333,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.66,Z,18.585,19.105,,ASASSN-17PF,VVS,STD,,,,
2458077.84236,13.304,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.67,Z,18.612,19.092,,ASASSN-17PF,VVS,STD,,,,
2458077.84450,13.319,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.67,Z,18.605,19.093,,ASASSN-17PF,VVS,STD,,,,
2458077.84668,13.326,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.68,Z,18.605,19.099,,ASASSN-17PF,VVS,STD,,,,
2458077.84883,13.330,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.68,Z,18.618,19.089,,ASASSN-17PF,VVS,STD,,,,
2458077.85098,13.335,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.69,Z,18.607,19.076,,ASASSN-17PF,VVS,STD,,,,
2458078.021007,13.3552,0.0036,,CV,SPET,,139,143,X22688AFX,,0,1.493,Z,12.8111,13.2079,,ASASSN-17PF,AAVSO,STD,,,,
